TX,Dallas,32.793333,-96.766513
CA,Turlock,37.505214,-120.858764
TX,Lampasas,31.065774,-98.183508
DC,Washington,38.904103,-77.017229
OR,Portland,45.536951,-122.649971
IL,Chicago,41.837551,-87.681844
TX,Austin,30.303940,-97.754358
TX,Dallas,32.793333,-96.766513
IN,Indianapolis,39.776664,-86.145935
OH,Cleveland,41.478462,-81.679435
OH,Lorain,41.438805,-82.179722
GA,Athens,33.949597,-83.370088
TX,Houston,29.787992,-95.393597
MD,Baltimore,39.300032,-76.610476
SC,Clemson,34.683826,-82.812407
TX,Dallas,32.793333,-96.766513
IA,Marathon,42.860193,-94.982866
KY,Bowling Green,36.970919,-86.438462
CA,San Diego,32.762396,-116.919695
TX,Plano,33.050769,-96.747944
TX,Austin,30.303940,-97.754358
TX,Austin,30.303940,-97.754358
MD,Baltimore,39.300032,-76.610476
TX,Houston,29.787992,-95.393597
VA,Alexandria,38.820071,-77.084063
FL,Miami,25.775163,-80.208615
OH,Miamisburg,39.630938,-84.270742
MI,Suttons Bay,44.979594,-85.650728
CT,Stamford,41.079857,-73.546028
WA,Seattle,47.620499,-122.350876
FL,Oakland Park,26.179051,-80.152411
FL,Miami,25.775163,-80.208615
FL,Miami,25.775163,-80.208615
OH,Columbus,39.983938,-82.984882
PA,Philadelphia,40.717829,-76.116686
FL,Palm Beach,26.820298,-80.056905
MI,Kalamazoo,42.275163,-85.588501
CA,San Pablo,37.962851,-122.342574
FL,Vero Beach,27.647220,-80.393136
IL,Towanda,40.563308,-88.900781
VA,Lynchburg,37.399016,-79.195458
DE,Wilmington,39.735651,-75.532104
WA,Seattle,47.620499,-122.350876
PA,Donora,40.179529,-79.862408
SC,Columbia,34.029095,-80.898037
DC,Washington,38.904103,-77.017229
TX,Houston,29.787992,-95.393597
IL,Decatur,39.855983,-88.933746
OH,Louisville,40.836576,-81.264536
DE,Newark,39.677574,-75.757309
TX,Los Fresnos,26.074219,-97.480011
VA,Woodbridge ,38.654353,-77.237111
CA,San Diego,32.762396,-116.919695
MA,Boston,42.331960,-71.020173
TX,Dallas,32.793333,-96.766513
MS,Canton,32.598419,-90.032191
NV,Las Vegas,36.229214,-115.260082
OR,Hillsboro,45.530767,-122.937143
NC,Concord,35.392048,-80.635543
NY,Roslyn,40.799816,-73.650424
AR,Newport,35.626804,-91.234720
TX,Yoakum,29.293204,-97.147010
TX,Colleyville,32.891787,-97.149641
OH,Columbus,39.983938,-82.984882
NC,Charlotte,35.207788,-80.831022
TX,Dallas,32.793333,-96.766513
FL,Tampa,27.970086,-82.479673
NY,Syracuse,43.063722,-76.069696
PA,Tunkhannock,41.541084,-75.949058
FL,Gainesville,29.678832,-82.346103
NC,Cary,35.780878,-78.813274
MD,Baltimore,39.300032,-76.610476
TX,Richardson,32.972291,-96.708069
MO,Kansas City,39.125129,-94.551028
NC,Raleigh,35.830598,-78.641768
AK,Wasilla ,61.575240,-149.456840
NM,Albuquerque,35.105552,-106.647388
PA,Reading,40.339220,-75.926277
AR,Bull Shoals,36.373570,-92.591504
VA,Suffolk,36.697157,-76.634781
PA,State College,40.790985,-77.856810
AR,Jonesboro,35.819733,-90.679050
NJ,Long Branch,40.295372,-73.989899
FL,Plantation,30.170807,-81.835512
CA,Malibu,34.034219,-118.779491
FL,St. Petersburg,27.761976,-82.644055
NC,Fayetteville,35.082766,-78.973515
NJ,Keansburg,40.448279,-74.145823
OH,Marion,40.593304,-83.122972
CA,Roseville,38.768199,-121.316620
TN,Johnson City,36.342325,-82.380915
FL,Gainesville,29.678832,-82.346103
MA,Boston,42.331960,-71.020173
NV,Las Vegas,36.229214,-115.260082
CA,Los Angeles,34.031506,-118.168567
FL,Lutz,28.140689,-82.449720
WV,Oceana,37.693434,-81.629862
LA,Lafayette,30.207432,-92.028483
IN,Fishers,39.959285,-85.966886
FL,Jacksonville,30.336864,-81.661603
OH,Elyria,41.373539,-82.108008
OH,Cleveland,41.478462,-81.679435
LA,New Orleans,30.053420,-89.934502
IL,Chicago,41.837551,-87.681844
DC,Washington,38.904103,-77.017229
FL,Orlando,28.416169,-81.299372
IN,Indianapolis,39.776664,-86.145935
SD,Pierre,44.367766,-100.382524
TX,Spring,32.713904,-96.618062
WA,Spokane,47.666935,-117.433322
TX,College Station,30.585379,-96.295153
AL,Montgomery,32.347174,-86.266114
AZ,Mesa,35.831663,-110.368892
NE,Bartley,40.251123,-100.310429
NC,Denver,35.542916,-81.037682
TX,Pasadena,29.658556,-95.150564
CO,Durango,37.276725,-107.868915
SC,Charleston,32.817930,-79.958960
IL,Chicago,41.837551,-87.681844
NJ,Absecon,39.423563,-74.493025
RI,Providence,41.799956,-71.356584
FL,Miami,25.775163,-80.208615
NC,Concord,35.392048,-80.635543
NM,Albuquerque,35.105552,-106.647388
TX,El Paso,31.848360,-106.426979
VA,Fairfax,38.853183,-77.299025
FL,Orlando,28.416169,-81.299372
NY,New York,40.663468,-73.938697
NY,Syracuse,43.063722,-76.069696
AZ,Phoenix,33.572154,-112.090132
FL,Boca Raton,26.372690,-80.103711
IL,Chicago,41.837551,-87.681844
TN,Knoxville,35.970680,-83.949270
CA,Los Angeles,34.031506,-118.168567
CA,Sac,38.566592,-121.468632
NE,Omaha,41.264411,-96.045056
DC,Washington,38.904103,-77.017229
NY,Rochester,43.112210,-77.487176
VA,Portsmouth,36.859700,-76.356313
CA,San Francisco,37.727239,-123.032229
CA,Los Angeles,34.031506,-118.168567
SC,Sumter,33.926946,-80.292900
WA,Seattle,47.620499,-122.350876
MI,Flint,43.024419,-83.691964
LA,New Orleans,30.053420,-89.934502
GA,Atlanta,33.762909,-84.422675
IL,Barrington Hills,42.138642,-88.202959
PA,Pittsburgh,40.396878,-79.838182
FL,South,29.007560,-81.311242
TX,Dallas,32.793333,-96.766513
TX,Austin,30.303940,-97.754358
NY,Syracuse,43.063722,-76.069696
OH,Akron,41.080456,-81.521429
NY,New York,40.663468,-73.938697
TX,Houston,29.787992,-95.393597
LA,New Orleans,30.053420,-89.934502
OH,Atwater,41.028289,-81.157063
FL,Gainesville,29.678832,-82.346103
TX,Keller,32.932890,-97.224506
ID,Boise,43.599335,-116.229817
TX,College Station,30.585379,-96.295153
AR,Conway,35.074350,-92.467078
OH,Lebanon,39.423069,-84.219695
AZ,Phoenix,33.572154,-112.090132
AZ,Phoenix,33.572154,-112.090132
WI,Milwaukee,43.063348,-87.966695
WI,Oconomowoc,43.100435,-88.492688
MO,Kansas City,39.125129,-94.551028
MN,Cambridge,45.560745,-93.227688
MD,Edgewood,39.420290,-76.296846
PA,Irwin,40.325063,-79.699757
OH,Columbus,39.983938,-82.984882
KS,Lawrence,38.960029,-95.262930
NV,Las Vegas,36.229214,-115.260082
MI,Dearborn,42.313057,-83.211488
DC,Washington,38.904103,-77.017229
IL,Chicago,41.837551,-87.681844
IL,Chicago,41.837551,-87.681844
PA,Pittsburgh,40.396878,-79.838182
GA,Norcross,33.937394,-84.205634
CA,San Jose,37.296739,-121.818909
NY,Fredonia,42.440673,-79.331989
WI,Antigo,45.141269,-89.155225
CA,Colton,34.054525,-117.325029
NC,Andrews,35.199539,-83.825632
OK,Tulsa,36.127949,-95.902316
TX,North,32.712846,-97.642379
NM,Rio Rancho,35.285070,-106.698867
CA,Los Angeles,34.031506,-118.168567
VA,Lynchburg,37.399016,-79.195458
CA,La,36.954526,-121.821371
CA,San Jose,37.296739,-121.818909
CT,Hartford,41.760695,-72.607646
IN,Seymour,38.947516,-85.891285
NV,Las Vegas,36.229214,-115.260082
TX,Houston,29.787992,-95.393597
PA,Erie,42.116594,-80.073503
CA,Tracy,37.724597,-121.445538
CA,Encinitas,33.050632,-117.263616
DC,Washington,38.904103,-77.017229
VA,Charlottesville,38.037658,-78.485381
NJ,Westfield,40.651644,-74.343447
CA,Los Angeles,34.031506,-118.168567
MD,Bowie,38.957072,-76.741124
NY,New York,40.663468,-73.938697
MD,Western,39.487329,-79.041591
TX,Laredo,27.552472,-99.484371
FL,Lakeland,28.055494,-81.954916
CA,Los Angeles,34.031506,-118.168567
